"Year","Country","Patents","Country Name","NeonatalRate","Lifeexpectancy","InfantMortality"
2007,"CH",100,"Switzerland",3.2,81.74146341,4.1
2007,"DE",560,"Germany",2.5,79.53414634,3.7
2007,"DK",88,"Denmark",2.9,78.19512195,3.8
2007,"FI",20,"Finland",2,79.26341463,2.8
2007,"FR",315,"France",2.3,81.11219512,3.6
2007,"GB",403,"United Kingdom",3.3,79.44878049,4.9
2007,"IE",8,"Ireland",2.6,79.64146341,3.9
2007,"IL",86,"Israel",2.5,80.50487805,4.1
2007,"IT",107,"Italy",2.6,81.43414634,3.6
2007,"JP",729,"Japan",1.3,82.50707317,2.6
2007,"NL",88,"Netherlands",3.1,80.09756098,4.1
2007,"NO",22,"Norway",2.1,80.39512195,3
2007,"NZ",18,"New Zealand",2.9,80.15121951,5.3
2007,"SE",96,"Sweden",1.8,80.9,2.7
2007,"SG",10,"Singapore",1.2,80.44146341,2.2
2007,"SK",1,"Slovak Republic",3.5,74.20731707,6.4
2007,"US",5538,"United States",4.3,77.98780488,6.6
2008,"AU",86,"Australia",2.9,81.39512195,4.4
2008,"BE",72,"Belgium",2.5,79.6804878,3.8
2008,"CA",260,"Canada",3.8,80.69512195,5
2008,"CH",117,"Switzerland",3.2,81.99268293,4
2008,"DE",531,"Germany",2.4,79.73658537,3.6
2008,"DK",77,"Denmark",2.8,78.44634146,3.7
2008,"FI",30,"Finland",1.9,79.56829268,2.7
2008,"FR",327,"France",2.3,81.21463415,3.6
2008,"GB",347,"United Kingdom",3.2,79.6,4.8
2008,"IE",8,"Ireland",2.5,80.09512195,3.8
2008,"IL",101,"Israel",2.4,80.95121951,3.9
2008,"IT",112,"Italy",2.5,81.48536585,3.5
2008,"JP",712,"Japan",1.2,82.58756098,2.5
2008,"NL",101,"Netherlands",3,80.25121951,4
2008,"NO",22,"Norway",2,80.59268293,2.9
2008,"NZ",13,"New Zealand",3,80.35121951,5.2
2008,"SE",97,"Sweden",1.7,81.1,2.6
2008,"SG",15,"Singapore",1.2,80.7902439,2.2
2008,"SK",1,"Slovak Republic",3.4,74.70487805,6.1
2008,"US",5035,"United States",4.2,78.03902439,6.5
2009,"AU",87,"Australia",2.8,81.54390244,4.2
2009,"BE",85,"Belgium",2.4,80.03414634,3.7
2009,"CA",295,"Canada",3.8,80.99512195,5
